tmc,hour,vol.fraction
110+04158,7,0.061972
110+04158,8,0.061561
110+04158,9,0.0596
110+04158,10,0.0567
110+04158,11,0.053918
110+04158,12,0.053584
110+04158,13,0.05426
110+04158,14,0.055762
110+04158,15,0.057408
110+04158,16,0.058319
110+04158,17,0.056578
110+04158,18,0.053025
110+04158,19,0.042323
110+04158,20,0.032064
110+04158,21,0.023915
110+04158,22,0.015721
110+04158,23,0.011585
110+04159,0,0.008018
110+04159,1,0.005799
110+04159,2,0.006354
110+04159,3,0.010828
110+04159,4,0.028727
110+04159,5,0.064741
110+04159,6,0.067235
110+04159,7,0.061972
110+04159,8,0.061561
110+04159,9,0.0596
110+04159,10,0.0567
110+04159,11,0.053918
110+04159,12,0.053584
110+04159,13,0.05426
110+04159,14,0.055762
110+04159,15,0.057408
110+04159,16,0.058319
110+04159,17,0.056578
110+04159,18,0.053025
110+04159,19,0.042323
110+04159,20,0.032064
110+04159,21,0.023915
110+04159,22,0.015721
110+04159,23,0.011585
110+04163,0,0.01289
110+04163,1,0.007684
110+04163,2,0.005398
110+04163,3,0.004466
110+04163,4,0.008866
110+04163,5,0.022082
110+04163,6,0.046163
110+04163,7,0.061032
110+04163,8,0.054231
110+04163,9,0.051253
110+04163,10,0.048554
110+04163,11,0.044952
110+04163,12,0.052858
110+04163,13,0.059841
110+04163,14,0.056613
110+04163,15,0.058467
110+04163,16,0.05887
110+04163,17,0.063615
110+04163,18,0.064288
110+04163,19,0.051983
110+04163,20,0.048612
110+04163,21,0.047872
110+04163,22,0.04404
110+04163,23,0.025367
110+04164,0,0.01289
110+04164,1,0.007684
110+04164,2,0.005398
110+04164,3,0.004466
110+04164,4,0.008866
110+04164,5,0.022082
110+04164,6,0.046163
110+04164,7,0.061032
110+04164,8,0.054231
110+04164,9,0.051253
110+04164,10,0.048554
110+04164,11,0.044952
110+04164,12,0.052858
110+04164,13,0.059841
110+04164,14,0.056613
110+04164,15,0.058467
110+04164,16,0.05887
110+04164,17,0.063615
110+04164,18,0.064288
110+04164,19,0.051983
110+04164,20,0.048612
110+04164,21,0.047872
110+04164,22,0.04404
110+04164,23,0.025367
110+04165,0,0.014619
110+04165,1,0.008378
110+04165,2,0.006228
110+04165,3,0.004836
110+04165,4,0.009137
110+04165,5,0.021667
110+04165,6,0.043583
110+04165,7,0.05855
110+04165,8,0.050607
110+04165,9,0.047312
110+04165,10,0.046281
110+04165,11,0.044615
110+04165,12,0.054423
110+04165,13,0.062404
110+04165,14,0.057692
110+04165,15,0.057096
110+04165,16,0.054485
110+04165,17,0.059532
110+04165,18,0.0586
110+04165,19,0.054796
110+04165,20,0.05277
110+04165,21,0.052658
110+04165,22,0.050395
110+04165,23,0.029337
110+04166,0,0.015128
110+04166,1,0.008994
110+04166,2,0.0063
110+04166,3,0.004684
110+04166,4,0.008186
110+04166,5,0.020382
110+04166,6,0.042577
110+04166,7,0.060027
110+04166,8,0.052774
110+04166,9,0.049344
110+04166,10,0.047013
110+04166,11,0.045862
110+04166,12,0.055116
110+04166,13,0.062825
110+04166,14,0.058317
110+04166,15,0.057488
110+04166,16,0.052463
110+04166,17,0.058421
110+04166,18,0.058089
110+04166,19,0.054794
110+04166,20,0.052504
110+04166,21,0.051997
110+04166,22,0.048401
110+04166,23,0.028319
110+04167,0,0.014043
110+04167,1,0.007732
110+04167,2,0.005386
110+04167,3,0.003964
110+04167,4,0.00719
110+04167,5,0.0191
110+04167,6,0.042121
110+04167,7,0.063496
110+04167,8,0.057729
110+04167,9,0.051401
110+04167,10,0.046734
110+04167,11,0.048762
110+04167,12,0.055925
110+04167,13,0.061744
110+04167,14,0.063534
110+04167,15,0.059014
110+04167,16,0.049296
110+04167,17,0.057239
110+04167,18,0.059218
110+04167,19,0.057709
110+04167,20,0.050458
110+04167,21,0.046781
110+04167,22,0.042157
110+04167,23,0.029266
110+04168,0,0.015735
110+04168,1,0.008831
110+04168,2,0.00627
110+04168,3,0.004825
110+04168,4,0.007898
110+04168,5,0.018102
110+04168,6,0.0398
110+04168,7,0.05863
110+04168,8,0.051745
110+04168,9,0.046756
110+04168,10,0.046858
110+04168,11,0.046499
110+04168,12,0.055557
110+04168,13,0.062933
110+04168,14,0.064203
110+04168,15,0.058343
110+04168,16,0.053322
110+04168,17,0.057677
110+04168,18,0.057882
110+04168,19,0.057575
110+04168,20,0.052072
110+04168,21,0.051325
110+04168,22,0.048845
110+04168,23,0.028316
110+04169,0,0.014424
110+04169,1,0.00813
110+04169,2,0.005948
110+04169,3,0.004434
