TMC,YEAR,PERIOD,V/C_STRAIGHT_AVG,AVG_HOURLY_VAL
110+04130,2022,WE,0.360867236,3085.285714
110+04130,2023,AMP,0.385219892,3293.25
110+04130,2023,MIDD,0.358293725,3063.166667
110+04130,2023,PMP,0.339816821,2905
110+04130,2023,WE,0.3607078,3083.714286
110+04130,2024,AMP,0.385042811,3291.75
110+04130,2024,MIDD,0.358129022,3061.833333
110+04130,2024,PMP,0.339660611,2904
110+04130,2024,WE,0.360541987,3082.428571
110+04143,2017,AMP,0.735316927,4298.75
110+04143,2017,MIDD,0.676225576,3989.166667
110+04143,2017,PMP,0.611560624,3671
110+04143,2017,WE,0.674633119,3986.714286
110+04143,2018,AMP,0.727240763,4251.5
110+04143,2018,MIDD,0.668798426,3945.5
110+04143,2018,PMP,0.604843705,3630.75
110+04143,2018,WE,0.667223459,3943
110+04143,2019,AMP,0.729566158,4264.75
110+04143,2019,MIDD,0.670936948,3958.166667
110+04143,2019,PMP,0.606777728,3642.5
110+04143,2019,WE,0.669356945,3955.571429
110+04143,2020,AMP,0.634128472,3707.5
110+04143,2020,MIDD,0.583168801,3440.5
110+04143,2020,PMP,0.527402525,3165.75
110+04143,2020,WE,0.581795485,3438.285714
110+04143,2021,AMP,0.687911675,4021.5
110+04143,2021,MIDD,0.632629892,3732.333333
110+04143,2021,PMP,0.572133835,3434.5
110+04143,2021,WE,0.631140099,3729.857143
110+04143,2022,AMP,0.689494101,4031
110+04143,2022,MIDD,0.634085152,3740.5
110+04143,2022,PMP,0.573449933,3442.5
110+04143,2022,WE,0.632591932,3738.357143
110+04143,2023,AMP,0.691076528,4040.25
110+04143,2023,MIDD,0.635540412,3749.333333
110+04143,2023,PMP,0.574766032,3450
110+04143,2023,WE,0.634043765,3746.928571
110+04143,2024,AMP,0.692658954,4049.75
110+04143,2024,MIDD,0.636995672,3758
110+04143,2024,PMP,0.576082131,3458.25
110+04143,2024,WE,0.635495598,3755.714286
110+04144,2017,AMP,0.667940181,3904.5
110+04144,2017,MIDD,0.614316437,3623.333333
110+04144,2017,PMP,0.555500265,3334.25
110+04144,2017,WE,0.612832886,3621.071429
110+04144,2018,AMP,0.675872664,3951
110+04144,2018,MIDD,0.621612083,3666.5
110+04144,2018,PMP,0.562097407,3373.75
110+04144,2018,WE,0.620110913,3664.142857
110+04144,2019,AMP,0.681846152,3985.5
110+04144,2019,MIDD,0.627106006,3698.666667
110+04144,2019,PMP,0.567065328,3403.75
110+04144,2019,WE,0.625591568,3696.357143
110+04144,2020,AMP,0.613445372,3585.75
110+04144,2020,MIDD,0.564196595,3327.833333
110+04144,2020,PMP,0.510179019,3062.25
110+04144,2020,WE,0.562834081,3325.642857
110+04144,2021,AMP,0.657817097,3845.25
110+04144,2021,MIDD,0.605006057,3568.333333
110+04144,2021,PMP,0.547081284,3283.5
110+04144,2021,WE,0.60354499,3566.071429
110+04144,2022,AMP,0.661503482,3867
110+04144,2022,MIDD,0.608396491,3588.333333
110+04144,2022,PMP,0.550147109,3302.25
110+04144,2022,WE,0.606927237,3586.214286
110+04144,2023,AMP,0.665209167,3888.25
110+04144,2023,MIDD,0.611804676,3608.666667
110+04144,2023,PMP,0.553228986,3320.5
110+04144,2023,WE,0.610327191,3606.214286
110+04144,2024,AMP,0.668934154,3910.25
110+04144,2024,MIDD,0.615230612,3628.666667
110+04144,2024,PMP,0.556326914,3339
110+04144,2024,WE,0.613744853,3626.357143
110+04145,2017,AMP,0.619682206,3907.5
110+04145,2017,MIDD,0.58196478,3620.333333
110+04145,2017,PMP,0.524856263,3332.25
110+04145,2017,WE,0.576424469,3620.071429
110+04145,2018,AMP,0.616483905,3887.5
110+04145,2018,MIDD,0.578961146,3601.666667
110+04145,2018,PMP,0.522147377,3315
110+04145,2018,WE,0.573449429,3601.428571
110+04145,2019,AMP,0.625199955,3942.25
110+04145,2019,MIDD,0.587146688,3652.666667
110+04145,2019,PMP,0.529529667,3362
110+04145,2019,WE,0.581557044,3652.357143
110+04145,2020,AMP,0.607369199,3830
110+04145,2020,MIDD,0.570401214,3548.5
110+04145,2020,PMP,0.514427436,3266
110+04145,2020,WE,0.564970987,3548.214286
110+04145,2021,AMP,0.662247701,4176
110+04145,2021,MIDD,0.621939494,3869
110+04145,2021,PMP,0.560908237,3561.25
110+04145,2021,WE,0.616018622,3868.785714
110+04145,2022,AMP,0.663769838,4185.5
110+04145,2022,MIDD,0.623368986,3877.833333
110+04145,2022,PMP,0.562197452,3569.5
110+04145,2022,WE,0.617434505,3877.642857
110+04145,2023,AMP,0.665291976,4195.25
110+04145,2023,MIDD,0.624798477,3886.833333
110+04145,2023,PMP,0.563486667,3577.5
110+04145,2023,WE,0.618850388,3886.571429
110+04145,2024,AMP,0.666823174,4204.75
110+04145,2024,MIDD,0.626236478,3895.666667
110+04145,2024,PMP,0.564783555,3585.75
110+04145,2024,WE,0.620274699,3895.428571
110+04146,2017,AMP,0.742547183,4665.75
110+04146,2017,MIDD,0.582969692,3610.666667
110+04146,2017,PMP,0.519714513,3286.5
110+04146,2017,WE,0.610490352,3819.5
110+04146,2018,AMP,0.729048177,4581
110+04146,2018,MIDD,0.572371697,3545
110+04146,2018,PMP,0.510266454,3226.75
110+04146,2018,WE,0.599392051,3750.071429
110+04146,2019,AMP,0.74276113,4666.75
110+04146,2019,MIDD,0.58313766,3611.666667
110+04146,2019,PMP,0.519864255,3287.25
110+04146,2019,WE,0.61066625,3820.428571
110+04146,2020,AMP,0.658089254,4135
110+04146,2020,MIDD,0.516662239,3199.833333
110+04146,2020,PMP,0.460601755,2912.5
110+04146,2020,WE,0.541052676,3384.928571
110+04146,2021,AMP,0.658007751,4134.5
110+04146,2021,MIDD,0.516598251,3199.833333
110+04146,2021,PMP,0.46054471,2912.25
110+04146,2021,WE,0.540985668,3384.714286
110+04146,2022,AMP,0.659515564,4143.75
110+04146,2022,MIDD,0.517782027,3207
110+04146,2022,PMP,0.461600041,2918.75
110+04146,2022,WE,0.542225327,3392.285714
110+04146,2023,AMP,0.661033566,4153.5
110+04146,2023,MIDD,0.518973801,3214.5
110+04146,2023,PMP,0.462662502,2925.5
110+04146,2023,WE,0.543473363,3400.214286
110+04146,2024,AMP,0.662551567,4163
110+04146,2024,MIDD,0.520165576,3221.833333
110+04146,2024,PMP,0.463724963,2932
110+04146,2024,WE,0.544721398,3407.928571
110+04147,2017,AMP,0.609937199,3830.5
110+04147,2017,MIDD,0.595375507,3689
110+04147,2017,PMP,0.572757023,3622.75
110+04147,2017,WE,0.593073567,3710.5
110+04147,2018,AMP,0.617311405,3876.75
110+04147,2018,MIDD,0.602573662,3733.666667
110+04147,2018,PMP,0.579681718,3666.25
110+04147,2018,WE,0.60024389,3755.285714
110+04147,2019,AMP,0.626640961,3935.5
110+04147,2019,MIDD,0.611680482,3790.333333
110+04147,2019,PMP,0.588442567,3721.75
110+04147,2019,WE,0.6093155,3812.214286
110+04147,2020,AMP,0.549979025,3454
110+04147,2020,MIDD,0.53684878,3326.333333
110+04147,2020,PMP,0.516453742,3266.5
110+04147,2020,WE,0.534773125,3345.714286
110+04147,2021,AMP,0.592225074,3719
110+04147,2021,MIDD,0.578086243,3582
110+04147,2021,PMP,0.556124583,3517.75
110+04147,2021,WE,0.575851149,3602.785714
110+04147,2022,AMP,0.599914942,3767.5
110+04147,2022,MIDD,0.585592523,3628.5
110+04147,2022,PMP,0.563345697,3563.25
110+04147,2022,WE,0.583328407,3649.571429
110+04147,2023,AMP,0.607710031,3816.5
110+04147,2023,MIDD,0.593201511,3675.666667
110+04147,2023,PMP,0.570665618,3609.5
110+04147,2023,WE,0.590907976,3697
110+04147,2024,AMP,0.615601572,3866
110+04147,2024,MIDD,0.600904648,3723.5
110+04147,2024,PMP,0.578076111,3656.25
110+04147,2024,WE,0.59858133,3745
110+04148,2017,AMP,0.765575312,4809.5
110+04148,2017,MIDD,0.642853123,3984.5
110+04148,2017,PMP,0.643673956,4076.25
110+04148,2017,WE,0.678151129,4246.428571
110+04148,2018,AMP,0.777136702,4882.25
110+04148,2018,MIDD,0.652561216,4044.833333
110+04148,2018,PMP,0.653394444,4137.75
110+04148,2018,WE,0.688392277,4310.642857
110+04148,2019,AMP,0.788688311,4955
110+04148,2019,MIDD,0.662261095,4104.833333
110+04148,2019,PMP,0.663106709,4199.25
110+04148,2019,WE,0.698624761,4374.714286
110+04148,2020,AMP,0.800249701,5027.5
110+04148,2020,MIDD,0.671969187,4165.166667
110+04148,2020,PMP,0.672827197,4261
110+04148,2020,WE,0.708865908,4438.928571
110+04148,2021,AMP,0.721569647,4533.25
110+04148,2021,MIDD,0.605901594,3755.833333
110+04148,2021,PMP,0.606675245,3841.75
110+04148,2021,WE,0.639170652,4002.5
110+04148,2022,AMP,0.721246868,4531.25
110+04148,2022,MIDD,0.605630556,3753.833333
110+04148,2022,PMP,0.606403861,3840.25
110+04148,2022,WE,0.638884732,4000.642857
110+04148,2023,AMP,0.720924088,4529.25
110+04148,2023,MIDD,0.605359518,3751.833333
110+04148,2023,PMP,0.606132477,3838.5
110+04148,2023,WE,0.638598812,3998.714286
110+04148,2024,AMP,0.720601308,4527.25
