tmc,year,AMP Hour TMS,AMP TMS,AMP Lane TMS,AMP Hour Lane TMS,AMP Hour NPMRDS,AMP NPMRDS,AMP Lane NPMRDS,AMP Hour Lane NPMRDS,MIDD Hour TMS,MIDD TMS,MIDD Lane TMS,MIDD Hour Lane TMS,MIDD Hour NPMRDS,MIDD NPMRDS,MIDD Lane NPMRDS,MIDD Hour Lane NPMRDS,PMP Hour TMS,PMP TMS,PMP Lane TMS,PMP Hour Lane TMS,PMP Hour NPMRDS,PMP NPMRDS,PMP Lane NPMRDS,PMP Hour Lane NPMRDS,WE Hour TMS,WE TMS,WE Lane TMS,WE Hour Lane TMS,WE Hour NPMRDS,WE NPMRDS,WE Lane NPMRDS,WE Hour Lane NPMRDS
110-04945,2017,3662.073415,14648.29366,4882.764553,1220.691138,3528.72374,14114.89496,4704.964987,1176.241247,3349.958172,20099.74903,6699.916343,1116.652724,3227.973772,19367.84263,6455.947543,1075.991257,3869.428015,15477.71206,5159.237353,1289.809338,3728.52779,14914.11116,4971.370387,1242.842597,3587.55391,50225.75474,16741.91825,1195.851303,3456.917767,48396.84874,16132.28291,1152.305922
110-04945,2018,3665.43517,14661.74068,4887.246893,1221.811723,3672.09643,14688.38572,4896.128573,1224.032143,3353.033408,20118.20045,6706.066817,1117.677803,3359.126935,20154.76161,6718.25387,1119.708978,3872.98012,15491.92048,5163.973493,1290.993373,3880.018555,15520.07422,5173.358073,1293.339518,3590.847259,50271.86162,16757.28721,1196.949086,3597.372967,50363.22154,16787.74051,1199.124322
110-04945,2019,3693.263045,14773.05218,4924.350727,1231.087682,3767.470705,15069.88282,5023.294273,1255.823568,3378.489538,20270.93723,6756.979077,1126.163179,3446.372547,20678.23528,6892.745093,1148.790849,3902.38367,15609.53468,5203.178227,1300.794557,3980.79313,15923.17252,5307.724173,1326.931043,3618.108863,50653.52408,16884.50803,1206.036288,3690.806474,51671.29063,17223.76354,1230.268825
110-04945,2020,2942.533013,11770.13205,3923.37735,980.8443375,3762.303563,15049.21425,5016.40475,1254.101188,2691.743557,16150.46134,5383.487113,897.2478522,3441.645793,20649.87476,6883.291587,1147.215264,3109.145663,12436.58265,4145.52755,1036.381888,3975.333413,15901.33365,5300.44455,1325.111138,2882.655432,40357.17605,13452.39202,960.885144,3685.744475,51600.42265,17200.14088,1228.581492
110-04946,2017,3662.073415,14648.29366,4882.764553,1220.691138,3334.2399,13336.9596,4445.6532,1111.4133,3349.958172,20099.74903,6699.916343,1116.652724,3050.065615,18300.39369,6100.13123,1016.688538,3869.428015,15477.71206,5159.237353,1289.809338,3523.03185,14092.1274,4697.3758,1174.34395,3587.55391,50225.75474,16741.91825,1195.851303,3266.391479,45729.4807,15243.16023,1088.79716
110-04946,2018,3665.43517,14661.74068,4887.246893,1221.811723,3468.212123,13872.84849,4624.28283,1156.070708,3353.033408,20118.20045,6706.066817,1117.677803,3172.619505,19035.71703,6345.23901,1057.539835,3872.98012,15491.92048,5163.973493,1290.993373,3664.589873,14658.35949,4886.11983,1221.529958,3590.847259,50271.86162,16757.28721,1196.949086,3397.637501,47566.92501,15855.64167,1132.545834
110-04946,2019,3693.263045,14773.05218,4924.350727,1231.087682,3553.25211,14213.00844,4737.66948,1184.41737,3378.489538,20270.93723,6756.979077,1126.163179,3250.411612,19502.46967,6500.823223,1083.470537,3902.38367,15609.53468,5203.178227,1300.794557,3754.44501,15017.78004,5005.92668,1251.48167,3618.108863,50653.52408,16884.50803,1206.036288,3480.947011,48733.25816,16244.41939,1160.31567
110-04946,2020,2942.533013,11770.13205,3923.37735,980.8443375,3534.326668,14137.30667,4712.435557,1178.108889,2691.743557,16150.46134,5383.487113,897.2478522,3233.099167,19398.595,6466.198333,1077.699722,3109.145663,12436.58265,4145.52755,1036.381888,3734.447968,14937.79187,4979.263957,1244.815989,2882.655432,40357.17605,13452.39202,960.885144,3462.406681,48473.69353,16157.89784,1154.13556
110-04947,2017,3975.146563,15900.58625,5300.195417,1325.048854,3814.94973,15259.79892,5086.59964,1271.64991,3035.538055,18213.22833,6071.07611,1011.846018,2913.207073,17479.24244,5826.414147,971.0690244,3568.118208,14272.47283,4757.490943,1189.372736,3424.324458,13697.29783,4565.765943,1141.441486,3456.163386,48386.2874,16128.76247,1152.054462,3316.88137,46436.33918,15478.77973,1105.627123
110-04947,2018,3948.363988,15793.45595,5264.485317,1316.121329,3968.237228,15872.94891,5290.98297,1322.745743,3015.086098,18090.51659,6030.172197,1005.028699,3030.261885,18181.57131,6060.52377,1010.087295,3544.07799,14176.31196,4725.43732,1181.35933,3561.916343,14247.66537,4749.22179,1187.305448,3432.877464,48060.2845,16020.09483,1144.292488,3450.156114,48302.18559,16100.72853,1150.052038
