tmc,AMP Truck,MIDD Truck,PMP Truck,WE Truck
110+04875,4.0369008,4.4525614,2.2300195,3.67972
110+04876,3.998916,4.4790706,2.2299414,3.7049803
110+04877,3.998916,4.4790706,2.2299414,3.7049803
110+04878,3.998916,4.4790706,2.2299414,3.7049803
110+04879,4.0032392,4.534748,2.2264543,3.7277158
110+04880,3.9676663,4.3995144,2.2565479,3.6393913
110+04881,3.9674568,4.3995144,2.2565479,3.6393286
110+04882,3.9676663,4.3995144,2.2565479,3.6393913
110+04883,3.9341047,4.4864328,2.2352685,3.680782
110+04884,4.0574132,4.4027507,2.2502451,3.6548129
110+04885,6.6748498,6.8812885,3.1740162,5.6863394
110+04886,6.6577687,6.8999723,3.1747284,5.6959827
110+04887,6.5354016,6.9025295,3.1687276,5.6797661
110+04888,6.5925154,6.833906,3.1735761,5.6237105
110+04889,6.6137756,6.9348474,3.1734063,5.7535639
110+04890,6.5727787,6.9783937,3.1724765,5.7997692
110+04891,6.5730081,6.9783937,3.172186,5.7997584
110+04892,10.8122724,11.9188174,7.0510971,10.2601585
110+04893,10.8487573,11.9749569,7.0743419,10.2896723
110+04894,10.8282246,11.9526544,7.0760152,10.2047004
110+04895,10.8723332,11.866325,7.048102,10.1533269
110+04896,10.8723332,11.8660089,7.048102,10.1531862
110+04897,10.8608786,11.8531016,7.0507592,10.1452733
110+04898,10.8797874,11.8791284,7.034369,10.2197262
110+04899,10.8742391,11.8588444,6.9981014,10.1984986
110+04900,9.3856588,12.5306033,9.6384172,10.8996688
110+04901,9.3814943,12.5412395,9.6508087,10.9070963
110+04902,9.2762564,12.551147,9.6428994,10.8275021
110+04903,9.1569326,12.5663505,9.6594151,10.6615108
110+04904,3.9272403,6.8412131,3.7145682,5.0444773
110+04905,3.8323697,6.8394012,3.6765164,4.9433379
110+04906,3.8340648,6.8388351,3.6833264,4.9454573
110+04907,3.8381123,6.8414564,3.6846213,4.9482654
110+04908,3.8413907,6.8483407,3.6858486,4.9524062
110+04911,4.9318222,8.964937,3.2750966,5.9403054
110+04912,4.937271,8.9895028,3.2638024,5.9594739
110+04913,4.9252494,8.9743634,3.2854043,5.8964472
110+04914,5.0026613,8.8994004,3.3087065,6.0337392
110+04915,5.0094243,8.8997892,3.3087254,6.0339201
110+04925,15.2980557,14.0717164,11.9786181,13.8144729
110+04926,15.3016691,14.1797996,12.1193796,13.9391692
110+04927,15.2205234,14.1850707,12.1845031,13.9726477
110+04944,3.8699769,4.3415911,1.3991011,3.3464715
110+04945,3.8528885,4.3390359,1.3980008,3.3397239
110+04946,3.8528885,4.3390359,1.3980008,3.3397239
110+04947,3.8462356,4.3340034,1.3957069,3.3349643
110+04948,3.8462356,4.3340034,1.3957069,3.3349643
110+04949,3.7877833,4.3071493,1.389542,3.2037538
110+04950,3.7895071,4.3055513,1.3890266,3.2034417
110+04951,3.8007749,4.3056944,1.390257,3.2070578
110+04952,3.8118478,4.3001331,1.3884669,3.2073939
110+04953,8.8571316,12.4872141,9.1633066,10.3699198
110+04955,8.8286276,12.521275,9.2150835,10.3883319
110+04956,8.8374376,12.5539111,9.2663314,10.4183059
110+04957,8.8749722,12.5234497,9.1789495,10.236955
110+04958,8.8800848,12.5267613,9.1542655,10.2324056
110+04959,8.9086732,12.520264,9.1821465,10.2485683
110+05007,24.4329591,26.7133312,25.6781032,25.839426
110+05008,18.7232263,21.9245414,19.2723687,20.2716984
110+05009,18.7413156,21.9663647,19.3541317,20.3545163
110+05010,18.7030959,21.9760243,19.3113504,20.3347404
110+05011,16.6112065,20.4456482,17.5873222,18.5670699
110+05012,19.7105708,21.8176291,18.8165322,20.384862
110+05018,16.4888145,20.4666005,17.6932561,18.5059045
110+05019,16.4766436,20.4560272,17.6329134,18.4961155
110+05020,16.6015855,20.4723101,17.5910322,18.5776612
