tmc,year,AMP Hour TMS Vol,AMP TMS Vol,AMP Lane TMS Vol,AMP Hour Lane TMS Vol,AMP Hour NPMRDS Vol,AMP NPMRDS Vol,AMP Lane NPMRDS Vol,AMP Hour Lane NPMRDS Vol,MIDD Hour TMS Vol,MIDD TMS Vol,MIDD Lane TMS Vol,MIDD Hour Lane TMS Vol,MIDD Hour NPMRDS Vol,MIDD NPMRDS Vol,MIDD Lane NPMRDS Vol,MIDD Hour Lane NPMRDS Vol,PMP Hour TMS Vol,PMP TMS Vol,PMP Lane TMS Vol,PMP Hour Lane TMS Vol,PMP Hour NPMRDS Vol,PMP NPMRDS Vol,PMP Lane NPMRDS Vol,PMP Hour Lane NPMRDS Vol,WE Hour TMS Vol,WE TMS Vol,WE Lane TMS Vol,WE Hour Lane TMS Vol,WE Hour NPMRDS Vol,WE NPMRDS Vol,WE Lane NPMRDS Vol,WE Hour Lane NPMRDS Vol,AMP NPMRDS straight VoverC,MIDD NPMRDS straight VoverC,PMP NPMRDS straight VoverC,WE NPMRDS straight VoverC,AMP TMS straight VoverC,MIDD TMS straight VoverC,PMP TMS straight VoverC,WE TMS straight VoverC,AMP NPMRDS weighted VoverC,MIDD NPMRDS weighted VoverC,PMP NPMRDS weighted VoverC,WE NPMRDS weighted VoverC,AMP TMS weighted VoverC,MIDD TMS weighted VoverC,PMP TMS weighted VoverC,WE TMS weighted VoverC
110+04694,2019,26.70983255,106.8393302,53.4196651,13.35491628,29.85494495,119.4197798,59.7098899,14.92747248,20.42367638,122.5420583,61.27102915,10.21183819,22.82858692,136.9715215,68.48576075,11.41429346,19.91485292,79.65941166,39.82970583,9.957426458,22.25984893,89.03939572,44.51969786,11.12992447,19.31505001,309.0408001,154.5204001,9.657525003,21.58941856,345.430697,172.7153485,10.79470928,0.711894946,0.564299265,0.513923748,0.592076455,0.636899343,0.504852342,0.459783706,0.529703303,0.726791906,0.567173115,0.537937728,0.614819546,0.650226961,0.507423442,0.481267899,0.55005049
110+04694,2020,23.07699877,92.30799507,46.15399754,11.53849938,30.43643095,121.7457238,60.8728619,15.21821548,17.64582963,105.8749778,52.9374889,8.822914817,23.27322025,139.6393215,69.81966075,11.63661013,17.20621181,68.82484722,34.41242361,8.603105903,22.69340493,90.77361972,45.38680986,11.34670247,16.68798875,267.00782,133.50391,8.343994375,22.00991656,352.158665,176.0793325,11.00495828,0.725760554,0.575290145,0.523933462,0.603608352,0.55027396,0.436186818,0.397248017,0.457657773,0.740947662,0.57821997,0.548415163,0.626794411,0.561788875,0.43840822,0.415810121,0.475237517
110+04695,2017,36.3923013,145.5692052,72.7846026,18.19615065,25.52432798,102.0973119,51.04865595,12.76216399,27.82737717,166.964263,83.4821315,13.91368858,19.51718017,117.103081,58.5515405,9.758590083,27.13410225,108.536409,54.2682045,13.56705113,19.03094062,76.12376248,38.06188124,9.51547031,26.31686733,421.0698773,210.5349387,13.15843367,18.45775971,295.3241554,147.6620777,9.228879856,0.626914314,0.496938731,0.452576551,0.521399703,0.893847416,0.708529684,0.645278584,0.743405865,0.6400329,0.499469529,0.473723977,0.541427811,0.912551749,0.712138068,0.675430348,0.771961716
110+04695,2018,35.76356958,143.0542783,71.52713915,17.88178479,29.5874614,118.3498456,59.1749228,14.7937307,27.34661738,164.0797043,82.03985215,13.67330869,22.62405558,135.7443335,67.87216675,11.31202779,26.66531983,106.6612793,53.33063965,13.33265991,22.06041317,88.24165268,44.12082634,11.03020659,25.86220387,413.7952619,206.897631,12.93110193,21.39598949,342.3358318,171.1679159,10.69799474,0.726710732,0.576044765,0.524620717,0.604399599,0.878404857,0.696288768,0.634130426,0.73056241,0.741917622,0.578978433,0.549134532,0.627615915,0.896786045,0.699834812,0.663761272,0.758624916
110+04695,2019,35.1355647,140.5422588,70.2711294,17.56778235,34.62458388,138.4983355,69.24916775,17.31229194,26.86641338,161.1984803,80.59924015,13.43320669,26.47569183,158.854151,79.4270755,13.23784592,26.19707935,104.7883174,52.3941587,13.09853968,25.81609203,103.2643681,51.63218405,12.90804601,25.40806603,406.5290564,203.2645282,12.70403301,25.03855341,400.6168546,200.3084273,12.51927671,0.850429726,0.674113606,0.613934861,0.707295713,0.862980152,0.684062003,0.622995156,0.717733804,0.868225516,0.677546717,0.642622035,0.734464494,0.881038568,0.687545779,0.652105688,0.745303535
110+04695,2020,33.89918008,135.5967203,67.79836015,16.94959004,31.32755825,125.310233,62.6551165,15.66377913,25.92101175,155.5260705,77.76303525,12.96050588,23.95462083,143.727725,71.8638625,11.97731042,25.2752309,101.1009236,50.5504618,12.63761545,23.3578295,93.431318,46.715659,11.67891475,24.51398216,392.2237145,196.1118573,12.25699108,22.65432975,362.469276,181.234638,11.32716488,0.76945002,0.609923092,0.555474694,0.639945529,0.832612762,0.659990561,0.601072594,0.692477485,0.785551258,0.613029295,0.581430214,0.664527242,0.850035721,0.663351746,0.629158755,0.719077065
110+04696,2017,34.08816303,136.3526521,68.17632605,17.04408151,33.9500601,135.8002404,67.9001202,16.97503005,26.06551758,156.3931055,78.19655275,13.03275879,25.95991717,155.759503,77.8797515,12.97995858,25.4161366,101.6645464,50.8322732,12.7080683,25.31316705,101.2526682,50.6263341,12.65658353,24.65064401,394.4103041,197.2051521,12.325322,24.55077573,392.8124117,196.4062059,12.27538787,0.833864535,0.660981155,0.601974757,0.693517436,0.837256551,0.663669911,0.604423485,0.696338544,0.851313804,0.664347385,0.630103073,0.720157121,0.854776801,0.667049835,0.632666223,0.723086594
110+04696,2018,33.53720505,134.1488202,67.0744101,16.76860253,32.42220565,129.6888226,64.8444113,16.21110283,25.6442275,153.865365,76.9326825,12.82211375,24.79164308,148.7498585,74.37492925,12.39582154,25.0053423,100.0213692,50.0106846,12.50267115,24.17399867,96.69599468,48.34799734,12.08699934,24.25222215,388.0355544,194.0177772,12.12611108,23.44591724,375.1346758,187.5673379,11.72295862,0.796338132,0.631235022,0.574884088,0.662307072,0.823724194,0.65294319,0.594654348,0.685083807,0.813002132,0.634449762,0.601746546,0.687747892,0.840961269,0.656268484,0.622440605,0.711399536
110+04696,2019,34.07435275,136.297411,68.1487055,17.03717638,32.53268798,130.1307519,65.06537595,16.26634399,26.05495755,156.3297453,78.16487265,13.02747878,24.87612342,149.2567405,74.62837025,12.43806171,25.40583965,101.6233586,50.8116793,12.70291983,24.25637431,97.02549724,48.51274862,12.12818716,24.64065718,394.2505148,197.1252574,12.32032859,23.52581186,376.4129897,188.2064949,11.76290593,0.799051744,0.633386027,0.576843071,0.664563959,0.836917349,0.663401036,0.604178612,0.696056433,0.815772528,0.636611721,0.603797066,0.69009147,0.854430501,0.66677959,0.632409908,0.722793647
110+04696,2020,29.43990933,117.7596373,58.87981865,14.71995466,32.2143244,128.8572976,64.4286488,16.1071622,22.51122988,135.0673793,67.53368965,11.25561494,24.63268667,147.79612,73.89806,12.31634333,21.95039834,87.80159334,43.90079667,10.97519917,24.0190024,96.0760096,48.0380048,12.0095012,21.28928812,340.6286099,170.314305,10.64464406,23.2955892,372.7294272,186.3647136,11.6477946,0.791232256,0.627187737,0.571198108,0.658060562,0.723088449,0.573172042,0.522004444,0.601385987,0.807789411,0.630381864,0.597888332,0.683338263,0.738219642,0.57609108,0.546396009,0.62448668
