Year_Record,Travel_Time_Code,DIR_AADT
2020,110-07437,11618
2020,110-07438,8928
2020,110-07439,9234
2020,110-07461,1013
2020,110-07462,702
2020,110-07463,2274
2020,110-07464,3236
2020,110-07466,6886
2020,110-07467,3332
2020,110-07468,4256
2020,110-07469,8622
2020,110-07470,7406
2020,110-07474,8484
2020,110-07475,19796
2020,110-07476,12881
2020,110-07477,9436
2020,110-07478,3168
2020,110-07489,7556
2020,110-07495,2582
2020,110-07496,2584
2020,110-07497,2407
2020,110-07498,2410
2020,110-07499,3036
2020,110-07506,5250
2020,110-07511,9364
2020,110-07517,4314
2020,110-07518,2572
2020,110-07519,1892
2020,110-07521,2564
2020,110-07573,6154
2020,110-07574,2566
2020,110-07598,3203
2020,110-07608,10872
2020,110-07610,19361
2020,110-07611,11424
2020,110-07612,8936
2020,110-07613,5586
2020,110-07614,4595
2020,110-07615,4622
2020,110-07616,3469
2020,110-07617,4406
2020,110-07618,5006
2020,110-07619,4441
2020,110-07620,2897
2020,110-07622,3018
2020,110-07623,2758
2020,110-07624,2759
2020,110-07625,3284
2020,110-07626,3428
2020,110-07627,4084
2020,110-07630,12764
2020,110-07631,4346
2020,110-07632,4660
2020,110-07633,9057
2020,110-07634,7648
2020,110-07635,6910
2020,110-07686,8099
2020,110-07687,18845
2020,110-07689,5006
2020,110-07690,5960
2020,110-07691,6436
2020,110-07708,7847
2020,110-07709,10496
2020,110-07710,10717
2020,110-07711,12496
2020,110-07712,12496
2020,110-07713,20424
2020,110-07714,25856
2020,110-07715,19820
2020,110-07717,23374
2020,110-07718,17291
2020,110-07719,22770
2020,110-07720,22220
2020,110-07721,21041
2020,110-07722,21041
2020,110-07723,19626
2020,110-07724,15436
2020,110-07725,15436
2020,110-07726,15836
2020,110-07727,34090
2020,110-07728,11622
2020,110-07729,6908
2020,110-07730,6146
2020,110-07732,9634
2020,110-07733,11530
2020,110-07734,13063
2020,110-07735,16064
2020,110-07738,14048
2020,110-07739,2752
2020,110-07740,2712
2020,110-07741,3364
2020,110-07743,5226
2020,110-07744,6518
2020,110-07745,4741
2020,110-07746,321
2020,110-07747,668
2020,110-07748,790
2020,110-07749,8488
2020,110-07750,8088
2020,110-07751,8146
2020,110-07752,6406
2020,110-07753,6544
2020,110-07754,774
2020,110-07759,11113
2020,110-07760,5399
2020,110-07763,9258
2020,110-07764,8852
2020,110-07788,14122
2020,110-07797,15680
2020,110-07799,5772
