tmc,year,AMP Vol,MIDD Vol,PMP Vol,WE Vol,max Vol,max WD Vol
110N04732,2019,24.829,22.91213333,26.7108,24.54514286,24.54514286,26.7108
110N04732,2020,22.8451629,21.08145388,24.57660708,22.58398594,22.58398594,24.57660708
110N04733,2017,14.36107781,17.4301245,19.92602125,17.26636738,17.26636738,19.92602125
110N04733,2018,14.98319104,18.18518698,20.78920448,18.014336,18.014336,20.78920448
110N04733,2019,15.35706444,18.63895933,21.3079545,18.46384513,18.46384513,21.3079545
110N04733,2020,12.35396796,14.99408349,17.14115274,14.85321313,14.85321313,17.14115274
110N04734,2017,13.88453603,17.22713587,20.47870156,17.20112611,17.20112611,20.47870156
110N04734,2018,14.48600576,17.97340502,21.36582656,17.94626853,17.94626853,21.36582656
110N04734,2019,14.84747297,18.4218928,21.89896495,18.39407917,18.39407917,21.89896495
110N04734,2020,11.94402785,14.81946463,17.61659023,14.79709001,14.79709001,17.61659023
110N04735,2017,18.86581392,18.84990168,22.92642821,20.0191699,20.0191699,22.92642821
110N04735,2018,19.68303384,19.66643233,23.9195438,20.88635032,20.88635032,23.9195438
110N04735,2019,20.17415976,20.15714402,24.51637801,21.40750108,21.40750108,24.51637801
110N04735,2020,17.06350656,17.04911447,20.73619828,18.10667901,18.10667901,20.73619828
110N04736,2017,17.5499868,18.27001175,24.4931418,19.84232749,19.84232749,24.4931418
110N04736,2018,18.49342856,19.25216018,25.80982955,20.90899954,20.90899954,25.80982955
110N04736,2019,18.85953212,19.63328392,26.32077163,21.32292274,21.32292274,26.32077163
110N04736,2020,14.8548298,15.46428029,20.7317223,16.79513501,16.79513501,20.7317223
110N04737,2017,14.29865914,12.07307284,13.4291697,13.09641088,13.09641088,14.29865914
110N04737,2018,14.91818949,12.59617329,14.01102693,13.66385039,13.66385039,14.91818949
110N04737,2019,13.38109473,11.29832733,12.56740161,12.25599638,12.25599638,13.38109473
110N04737,2020,11.31768452,9.55608692,10.62946564,10.36608016,10.36608016,11.31768452
110N04738,2017,14.29865914,12.07307284,13.4291697,13.09641088,13.09641088,14.29865914
110N04738,2018,14.91818949,12.59617329,14.01102693,13.66385039,13.66385039,14.91818949
110N04738,2019,13.38109473,11.29832733,12.56740161,12.25599638,12.25599638,13.38109473
110N04738,2020,11.31768452,9.55608692,10.62946564,10.36608016,10.36608016,11.31768452
110N04739,2017,14.29865914,12.07307284,13.4291697,13.09641088,13.09641088,14.29865914
110N04739,2018,14.91818949,12.59617329,14.01102693,13.66385039,13.66385039,14.91818949
110N04739,2019,13.38109473,11.29832733,12.56740161,12.25599638,12.25599638,13.38109473
110N04739,2020,11.31768452,9.55608692,10.62946564,10.36608016,10.36608016,11.31768452
110N04740,2017,27.20652405,16.7282314,18.18648364,20.13867279,20.13867279,27.20652405
110N04740,2018,28.38516825,17.45293378,18.9743606,21.01112272,21.01112272,28.38516825
110N04740,2019,28.00357065,17.21830428,18.71927772,20.72865851,20.72865851,28.00357065
110N04740,2020,23.68597845,14.5635851,15.83313836,17.53271271,17.53271271,23.68597845
110N04741,2017,27.20652405,16.7282314,18.18648364,20.13867279,20.13867279,27.20652405
110N04741,2018,28.38516825,17.45293378,18.9743606,21.01112272,21.01112272,28.38516825
110N04741,2019,28.00357065,17.21830428,18.71927772,20.72865851,20.72865851,28.00357065
110N04741,2020,23.68597845,14.5635851,15.83313836,17.53271271,17.53271271,23.68597845
110N04742,2017,30.61701258,18.88499112,20.62268309,22.73348066,22.73348066,30.61701258
110N04742,2018,31.9428132,19.70276303,21.51570183,23.71790274,23.71790274,31.9428132
110N04742,2019,31.14211255,19.20887993,20.97637436,23.12337337,23.12337337,31.14211255
110N04742,2020,26.3402116,16.24700191,17.74196077,19.55790721,19.55790721,26.3402116
110N04743,2017,32.085795,20.03799,21.51051,23.90094,23.90094,32.085795
110N04743,2018,33.4754155,20.9058258,22.44211995,24.93607833,24.93607833,33.4754155
110N04743,2019,32.29511663,20.16871403,21.65084047,24.05686518,24.05686518,32.29511663
110N04743,2020,27.3157068,17.05900882,18.31261418,20.34766692,20.34766692,27.3157068
110N04770,2017,5.923114575,7.47521355,7.778542538,7.118422125,7.118422125,7.778542538
110N04770,2018,5.66466021,7.14903354,7.439126805,6.807810664,6.807810664,7.439126805
110N04770,2019,5.73836577,7.24205298,7.535920785,6.896390293,6.896390293,7.535920785
110N04770,2020,4.64829933,5.86634442,6.104388765,5.586344207,5.586344207,6.104388765
110N04771,2017,6.38114652,7.11131757,7.763589645,7.08906072,7.08906072,7.763589645
110N04771,2018,6.00740424,6.69480934,7.30887799,6.673856069,6.673856069,7.30887799
110N04771,2019,5.60666358,6.248213405,6.821318893,6.22865788,6.22865788,6.821318893
110N04771,2020,5.02328682,5.598082995,6.111556508,5.580562234,5.580562234,6.111556508
110N04772,2017,12.00494859,10.86394095,12.13727545,11.55375299,11.55375299,12.13727545
110N04772,2018,12.06801213,10.92101063,12.20103412,11.61444634,11.61444634,12.20103412
110N04772,2019,12.40435101,11.22538225,12.54108036,11.93814421,11.93814421,12.54108036
110N04772,2020,10.26575508,9.290048693,10.37891134,9.879925557,9.879925557,10.37891134
110N04773,2017,13.03434085,10.06629059,12.59532248,11.63688549,11.63688549,13.03434085
110N04773,2018,13.10281192,10.11917011,12.66148733,11.69801554,11.69801554,13.10281192
110N04773,2019,13.46799096,10.40119421,13.01436653,12.02404251,12.02404251,13.46799096
110N04773,2020,11.14601614,8.607956373,10.7705997,9.9510144,9.9510144,11.14601614
110N04774,2017,8.32107035,7.11540332,8.664518385,7.902483921,7.902483921,8.664518385
110N04774,2018,8.2196323,7.02866296,8.55889353,7.80614865,7.80614865,8.55889353
110N04774,2019,8.2309732,7.03836064,8.57070252,7.81691905,7.81691905,8.57070252
110N04774,2020,6.54558945,5.59717764,6.815755395,6.216317516,6.216317516,6.815755395
110N04775,2017,22.56650085,19.29676692,23.49792194,21.43130662,21.43130662,23.49792194
110N04775,2018,22.5961132,19.32208863,23.52875652,21.45942934,21.45942934,23.52875652
110N04775,2019,23.04155855,19.70299197,23.99258741,21.88246683,21.88246683,23.99258741
110N04775,2020,18.65893075,15.9553774,19.42906883,17.72030448,17.72030448,19.42906883
110N04776,2017,18.69665309,20.62641335,24.10573643,21.06914558,21.06914558,24.10573643
110N04776,2018,18.72118732,20.65347987,24.1373686,21.09679306,21.09679306,24.1373686
110N04776,2019,19.09024486,21.06062938,24.61319728,21.51268177,21.51268177,24.61319728
110N04776,2020,15.45917808,17.05478492,19.93163538,17.42085452,17.42085452,19.93163538
110N04784,2017,44.27881453,38.64161068,39.66007405,40.54322988,40.54322988,44.27881453
110N04784,2018,43.80611455,38.22909087,39.23668158,40.11040926,40.11040926,43.80611455
110N04784,2019,44.8251317,39.11837538,40.14940468,41.04345699,41.04345699,44.8251317
110N04784,2020,37.99552108,33.15825297,34.0321934,34.79002683,34.79002683,37.99552108
110N04785,2017,44.27881453,38.64161068,39.66007405,40.54322988,40.54322988,44.27881453
110N04785,2018,43.80611455,38.22909087,39.23668158,40.11040926,40.11040926,43.80611455
110N04785,2019,44.8251317,39.11837538,40.14940468,41.04345699,41.04345699,44.8251317
110N04785,2020,37.99552108,33.15825297,34.0321934,34.79002683,34.79002683,37.99552108
110N04786,2017,35.27713325,30.98063445,32.24242108,32.56871601,32.56871601,35.27713325
