tmc_code,year,AMP LOTTR,MIDD LOTTR,PMP LOTTR,WE LOTTR,max LOTTR,max WD LOTTR,obs AMP rel_unrel,obs MIDD rel_unrel,obs PMP rel_unrel,obs WE rel_unrel,obs rel_unrel,obs rel_unrel WD
110N09379,2018,1.35472973,1.356545961,1.536656891,1.832258065,1.832258065,1.536656891,Rel,Rel,Unrel,Unrel,Unrel,Unrel
110N09380,2017,1.252873563,1.236467236,1.304093567,1.451713396,1.451713396,1.304093567,Rel,Rel,Rel,Rel,Rel,Rel
110N09380,2018,1.247761194,1.248538012,1.326283988,1.415282392,1.415282392,1.326283988,Rel,Rel,Rel,Rel,Rel,Rel
110N09382,2017,1.543582704,1.56255449,1.66673932,1.666579498,1.66673932,1.66673932,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09382,2018,1.555435018,1.561069475,1.785745423,1.812642225,1.812642225,1.785745423,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09382,2019,1.560361347,1.578510108,1.785672515,2.000327547,2.000327547,1.785672515,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09382,2020,1.534975669,1.534733441,1.857360097,1.933514247,1.933514247,1.857360097,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09387,2017,1.501618123,1.5,1.52662037,1.364071856,1.52662037,1.52662037,Unrel,Unrel,Unrel,Rel,Unrel,Unrel
110N09387,2018,1.476485149,1.480151229,1.480059084,1.46875,1.480151229,1.480151229,Rel,Rel,Rel,Rel,Rel,Rel
110N09387,2019,0,0,0,0,0,0,Rel,Rel,Rel,Rel,Rel,Rel
110N09387,2020,0,0,0,0,0,0,Rel,Rel,Rel,Rel,Rel,Rel
110N09388,2017,1.107922645,1.104459377,1.137452711,1.160076531,1.160076531,1.137452711,Rel,Rel,Rel,Rel,Rel,Rel
110N09388,2018,1.118008605,1.104432301,1.13673598,1.159520807,1.159520807,1.13673598,Rel,Rel,Rel,Rel,Rel,Rel
110N09388,2019,1.842424242,1.609167077,1.565196548,1.783178591,1.842424242,1.842424242,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09388,2020,1.591142191,1.609167077,1.609167077,1.667021843,1.667021843,1.609167077,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09391,2017,1.106881406,1.111764706,1.129969419,1.133433283,1.133433283,1.129969419,Rel,Rel,Rel,Rel,Rel,Rel
110N09391,2018,1.172131148,1.22100955,1.120588235,1.118942731,1.22100955,1.22100955,Rel,Rel,Rel,Rel,Rel,Rel
110N09395,2019,0,0,0,0,0,0,Rel,Rel,Rel,Rel,Rel,Rel
110N09395,2020,1.483516484,1.460606061,1.384848485,1.605734767,1.605734767,1.483516484,Rel,Rel,Rel,Unrel,Unrel,Rel
110N09396,2017,2.093078759,1.883268482,2.059574468,2.331632653,2.331632653,2.093078759,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09396,2018,1.739659367,2,2.107055961,2.072310406,2.107055961,2.107055961,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09396,2019,1.746212121,1.788343558,1.561688312,2.067226891,2.067226891,1.788343558,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
