tmc,year,AMP NPMRDS straight VoverC,MIDD NPMRDS straight VoverC,PMP NPMRDS straight VoverC,WE NPMRDS straight VoverC,AMP TMS straight VoverC,MIDD TMS straight VoverC,PMP TMS straight VoverC,WE TMS straight VoverC,AMP NPMRDS weighted VoverC,MIDD NPMRDS weighted VoverC,PMP NPMRDS weighted VoverC,WE NPMRDS weighted VoverC,AMP TMS weighted VoverC,MIDD TMS weighted VoverC,PMP TMS weighted VoverC,WE TMS weighted VoverC,avg NPMRDS straight VoverC,max NPMRDS straight VoverC,avg TMS straight VoverC,max TMS straight VoverC,avg NPMRDS weighted VoverC,max NPMRDS weighted VoverC,avg TMS weighted VoverC,max TMS weighted VoverC,AMP Hour TMS Vol,AMP TMS Vol,AMP Lane TMS Vol,AMP Hour Lane TMS Vol,AMP Hour NPMRDS Vol,AMP NPMRDS Vol,AMP Lane NPMRDS Vol,AMP Hour Lane NPMRDS Vol,MIDD Hour TMS Vol,MIDD TMS Vol,MIDD Lane TMS Vol,MIDD Hour Lane TMS Vol,MIDD Hour NPMRDS Vol,MIDD NPMRDS Vol,MIDD Lane NPMRDS Vol,MIDD Hour Lane NPMRDS Vol,PMP Hour TMS Vol,PMP TMS Vol,PMP Lane TMS Vol,PMP Hour Lane TMS Vol,PMP Hour NPMRDS Vol,PMP NPMRDS Vol,PMP Lane NPMRDS Vol,PMP Hour Lane NPMRDS Vol,WE Hour TMS Vol,WE TMS Vol,WE Lane TMS Vol,WE Hour Lane TMS Vol,WE Hour NPMRDS Vol,WE NPMRDS Vol,WE Lane NPMRDS Vol,WE Hour Lane NPMRDS Vol
110+04143,2017,0.702481577,0.646028932,0.584251574,0.644507585,0.735316927,0.676225576,0.611560624,0.674633119,0.704135311,0.646079473,0.586533816,0.648299071,0.73704796,0.67627848,0.613949543,0.678601825,0.644317417,0.702481577,0.674434062,0.735316927,0.646261918,0.704135311,0.676469452,0.676469452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04143,2018,0.707460431,0.650607677,0.58839247,0.649075548,0.727240763,0.668798426,0.604843705,0.667223459,0.709125886,0.650658576,0.590690888,0.652893905,0.728952783,0.668850749,0.607206386,0.671148577,0.648884032,0.707460431,0.667026588,0.727240763,0.650842314,0.709125886,0.669039624,0.669039624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04143,2019,0.725658336,0.667343166,0.603527606,0.665771626,0.729566158,0.670936948,0.606777728,0.669356945,0.727366631,0.667395375,0.605885146,0.669688203,0.731283652,0.670989438,0.609147964,0.673294614,0.665575184,0.725658336,0.669159445,0.729566158,0.667583839,0.727366631,0.671178917,0.671178917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04143,2020,0.719039162,0.66125592,0.598022461,0.659698715,0.634128472,0.583168801,0.527402525,0.581795485,0.720731875,0.661307653,0.600358497,0.663579567,0.635621294,0.583214425,0.5294627,0.58521805,0.659504065,0.719039162,0.581623821,0.634128472,0.661494398,0.720731875,0.583379117,0.583379117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04144,2017,0.631491289,0.580793745,0.525187117,0.579391149,0.667940181,0.614316437,0.555500265,0.612832886,0.632979738,0.580839388,0.527239431,0.582800835,0.669514542,0.614364715,0.557671036,0.616439375,0.579215825,0.631491289,0.612647442,0.667940181,0.580964848,0.632979738,0.614497417,0.614497417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04144,2018,0.663713383,0.610428977,0.551984999,0.608954813,0.675872664,0.621612083,0.562097407,0.620110913,0.665277781,0.610476949,0.554142033,0.61253848,0.677465722,0.621660934,0.564293958,0.623760233,0.608770543,0.663713383,0.619923267,0.675872664,0.610608811,0.665277781,0.621795212,0.621795212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04144,2019,0.654844828,0.602272409,0.544609362,0.600817944,0.681846152,0.627106006,0.567065328,0.625591568,0.656388323,0.60231974,0.546737573,0.604353725,0.68345329,0.627155288,0.569281293,0.629273141,0.600636136,0.654844828,0.625402264,0.681846152,0.60244984,0.656388323,0.627290753,0.627290753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04144,2020,0.651525151,0.599219244,0.541848514,0.597772152,0.613445372,0.564196595,0.510179019,0.562834081,0.653060822,0.599266335,0.543965937,0.601290009,0.614891286,0.564240933,0.512172685,0.566146329,0.597591265,0.651525151,0.562663767,0.613445372,0.599395776,0.653060822,0.564362808,0.564362808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04145,2017,0.605303441,0.568461189,0.512677787,0.563049432,0.619682206,0.58196478,0.524856263,0.576424469,0.605427483,0.56861534,0.51514369,0.565905803,0.619809195,0.582122593,0.527380743,0.579348692,0.562372962,0.605303441,0.57573193,0.619682206,0.563773079,0.605427483,0.577165306,0.577165306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04145,2018,0.613095336,0.575778825,0.519277339,0.570297404,0.616483905,0.578961146,0.522147377,0.573449429,0.613220975,0.57593496,0.521774985,0.573190545,0.616610238,0.579118144,0.524658828,0.57635856,0.569612226,0.613095336,0.572760464,0.616483905,0.571030366,0.613220975,0.574186443,0.574186443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
